Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 2 3 4 5 7,19.7037262051859*x_1 - 3.3576325691255*x_2 - 17.0311514971106*x_3 - 0.386533122910688*x_4 - 9.83532069261459*x_5 + 2.7668335*(3.674931*x_1 + 3.0677161*x_2 - 1.1792153*x_3 - 0.3225296*x_4 + 0.76004773*x_5 - 0.24495457)*(3.7110949*x_1 + 2.9941463*x_2 - 1.204281*x_3 - 0.4975794*x_4 + 0.7062786*x_5 - 0.3163971) + 3.30203632310175,0.755381112,0.701195164,0.60190656,0.630440491,0.650203212,0.646101017,33,36.29108014
Feature(s): 2 3,5.76584011487337*x_1**2 + 24.4484865795523*x_1*x_2 - 5.42914119118641*x_1 + 25.9166934787516*x_2**2 - 12.5550918273794*x_2 - 2.984452*sin(-5.1096883*x_1 + 0.28446922*x_2 + 0.13684867) + 4.3394694*cos(-3.902615*x_1 + 1.2624488*x_2 + 1.3808997) + 1.61570885642691,0.714692941,0.732798032,0.650040389,0.550040973,0.667617514,0.712926435,27,36.23669571
Feature(s): 1 2,0.656347775178444*x_1**2 - 4.9745461488571*x_1*x_2 - 2.31193554477945*x_1 + 9.41671672736052*x_2**2 + 8.58074122407982*x_2 + 5.2320623*sin(8.783662*x_1 + 7.162459*x_2 - 2.3773708) + 4.4671283*cos(8.975854*x_1 + 7.0370736*x_2 - 3.9280508) + 3.12931011778813,0.612238823,0.736135578,0.757820319,0.64698378,0.649724368,0.631474131,27,35.96113016
Feature(s): 1 2 4 6,#NAME?,0.535857219,0.737609916,0.829105666,0.722532733,0.626615742,0.55984024,27,35.91949764
Feature(s): 1 2 4 5,#NAME?,0.545990456,0.746691139,0.820005139,0.711757265,0.627144814,0.570607425,27,35.88738607
Feature(s): 1 2 5 6 7,#NAME?,0.61138834,0.733092978,0.758650933,0.761823097,0.595064339,0.518690216,33,35.66057187
Feature(s): 2 3 4 5 6,13.1326139710747*x_1 - 1.23923350380458*x_2 - 12.6204668800385*x_3 - 3.10828520161556*x_4 + 0.200925602529384*x_5 - 3.1381617*(-3.4987907*x_1 - 3.4314237*x_2 + 1.3801143*x_3 + 0.216278*x_4 + 0.015764952*x_5 + 0.35635582)*(3.4623122*x_1 + 3.4003968*x_2 - 1.3476415*x_3 - 0.3221814*x_4 + 0.08657462*x_5 - 0.41461548) + 2.70416642710688,0.757627335,0.723131255,0.599136671,0.615558487,0.660769367,0.658981728,33,35.65929111
Feature(s): 2 3 5 7,9.76681207715772*x_1 - 2.70864092346418*x_2 + 0.245188526121618*x_3 - 8.87234555016892*x_4 + 2.0737073*(2.1584547*x_1 + 2.9350526*x_2 - 0.1768574*x_3 + 0.705935*x_4 - 0.493542)*(2.2679837*x_1 + 3.0282483*x_2 - 0.16800125*x_3 + 0.6686945*x_4 - 0.58954304) + 1.88629895631414,0.713112282,0.70864629,0.65183858,0.539914745,0.658924589,0.720903927,27,35.65135134
Feature(s): 2 4 5 6,11.3161446606178*x_1 - 1.03104890345017*x_2 - 5.03438876117731*x_3 + 1.26636464968912*x_4 + 1.3379189*(3.281906*x_1 + 0.8594967*x_2 + 0.7812143*x_3 - 0.29504007*x_4 + 0.3051348)*(3.429251*x_1 + 0.85718954*x_2 + 0.7092671*x_3 - 0.32456768*x_4 + 0.41918412) - 0.88111959423746,0.573474461,0.729595097,0.794797703,0.677327236,0.642478189,0.603725318,27,35.54008483
Feature(s): 1 2 4 6 7,#NAME?,0.619165151,0.681561768,0.751021594,0.745342941,0.568756373,0.536334943,33,35.2254046
